Date,AAPL,GOOG,MSFT
2025-01-15,237.028564453125,196.34413146972656,423.9802551269531
2025-01-16,227.4525604248047,193.78244018554688,422.25970458984375
2025-01-17,229.16647338867188,196.9123077392578,426.6853942871094
2025-01-21,221.85243225097656,198.98558044433597,426.1583251953125
2025-01-22,223.03823852539065,199.38429260253903,443.7615966796875
2025-01-23,222.86883544921875,198.9357452392578,444.2687683105469
2025-01-24,221.991943359375,201.24826049804688,441.6332702636719
2025-01-27,229.04690551757807,193.1444854736328,432.1852111816406
2025-01-28,237.4171905517578,196.43386840820312,444.7561340332031
2025-01-29,238.51329040527344,196.54347229003903,439.9127197265625
2025-01-30,236.7495574951172,201.97589111328125,412.7221374511719
2025-01-31,235.16519165039065,204.93630981445312,412.791748046875
2025-02-03,227.2034454345703,201.98587036132807,408.6744079589844
2025-02-04,231.9765167236328,207.0395050048828,410.116455078125
2025-02-05,231.6476593017578,192.67601013183597,411.0314636230469
2025-02-06,232.39501953125,192.68597412109372,413.5475769042969
2025-02-07,226.8247985839844,186.5359039306641,407.5107727050781
2025-02-10,227.0941162109375,187.59246826171875,409.96728515625
2025-02-11,232.05198669433597,186.46612548828125,409.1915588378906
2025-02-12,236.29161071777344,184.83140563964844,406.8046569824219
2025-02-13,240.9402313232422,187.2735137939453,408.2964477539063
2025-02-14,244.00274658203125,186.26675415039065,406.1979675292969
2025-02-18,243.87306213378903,185.20022583007807,407.4013977050781
2025-02-19,244.27207946777344,186.52593994140625,412.5033264160156
2025-02-20,245.2297515869141,186.0375061035156,414.6857604980469
2025-02-21,244.95042419433597,180.99383544921875,406.793212890625
2025-02-24,246.49664306640625,180.6051025390625,402.5978393554688
2025-02-25,246.4367828369141,176.7974395751953,396.5190124511719
2025-02-26,239.77310180664065,174.1360626220703,398.3426818847656
2025-02-27,236.72056579589844,169.66055297851562,391.1676330566406
2025-02-28,241.24948120117188,171.66407775878906,395.6121520996094
2025-03-03,237.4487762451172,168.11557006835938,387.14166259765625
2025-03-04,235.3539123535156,172.0528106689453,387.26123046875
2025-03-05,235.1643829345703,174.4251251220703,399.628173828125
2025-03-06,234.75538635253903,173.6476287841797,395.5125427246094
2025-03-07,238.4862518310547,175.18267822265625,391.9449462890625
2025-03-10,226.92454528808597,167.4588623046875,378.840576171875
2025-03-11,220.30075073242188,165.6326904296875,379.1296081542969
2025-03-12,216.4501800537109,168.6463623046875,381.9397888183594
2025-03-13,209.16799926757807,164.3852996826172,377.4553833007813
2025-03-14,212.9687042236328,167.26925659179688,387.21142578125
2025-03-17,213.4774627685547,166.22145080566406,387.3509521484375
2025-03-18,212.1706695556641,162.32960510253906,382.1889343261719
2025-03-19,214.7144317626953,165.9320526123047,386.4739990234375
2025-03-20,213.5772247314453,164.7046356201172,385.4974060058594
2025-03-21,217.73704528808597,165.90213012695312,389.9020690917969
2025-03-24,220.19102478027344,169.5744171142578,391.7157287597656
2025-03-25,223.2036590576172,172.42843627929688,393.7885437011719
2025-03-26,220.98907470703125,166.79025268554688,388.6165466308594
2025-03-27,223.3034210205078,163.73666381835938,389.2243957519531
2025-03-28,217.3679351806641,155.7334442138672,377.48529052734375
2025-03-31,221.58761596679688,155.90309143066406,374.087158203125
2025-04-01,222.64503479003903,158.54754638671875,380.863525390625
2025-04-02,223.34332275390625,158.527587890625,380.813720703125
2025-04-03,202.69384765625,152.3106231689453,371.8150329589844
2025-04-04,187.92002868652344,147.4308624267578,358.5910949707031
2025-04-07,181.0169219970703,148.92771911621094,356.61798095703125
2025-04-08,171.9989776611328,146.27328491210938,353.3294372558594
2025-04-09,198.3644561767578,160.72299194335938,389.1347351074219
2025-04-10,189.9550323486328,155.04489135742188,380.0264587402344
2025-04-11,197.6661529541016,159.0664520263672,387.101806640625
2025-04-14,202.02549743652344,161.13214111328125,386.4640197753906
2025-04-15,201.6464080810547,158.34796142578125,384.3912658691406
2025-04-16,193.79563903808597,155.17462158203125,370.32025146484375
2025-04-17,196.4990234375,153.0391082763672,366.5035400390625
2025-04-21,192.6883544921875,149.54641723632812,357.87359619140625
2025-04-22,199.25228881835935,153.5779571533203,365.5469055175781
2025-04-23,204.1004180908203,157.38998413085938,373.0906372070313
2025-04-24,207.8612060546875,161.13214111328125,385.9557800292969
2025-04-25,208.76898193359372,163.50714111328125,390.4900207519531
2025-04-28,209.62689208984372,162.08013916015625,389.8024291992188
2025-04-29,210.6942901611328,161.72088623046875,392.6724243164063
2025-04-30,211.9811248779297,160.55332946777344,393.88818359375
2025-05-01,212.79913330078125,162.44935607910156,423.9235534667969
2025-05-02,204.8485870361328,165.46304321289062,433.769287109375
2025-05-05,198.40435791015625,165.70254516601562,434.65618896484375
2025-05-06,198.02528381347656,164.8543243408203,431.8061218261719
2025-05-07,195.7707977294922,152.4802703857422,431.8459777832031
2025-05-08,197.00778198242188,155.42410278320312,436.6492614746094
2025-05-09,198.0452423095703,154.0569610595703,437.2073059082031
2025-05-12,210.5510406494141,159.24607849121094,447.7007751464844
2025-05-13,212.6886138916016,160.55332946777344,447.5812072753906
2025-05-14,212.08929443359372,166.4609375,451.3679809570313
2025-05-15,211.21029663085935,165.05389404296875,452.3863220214844
2025-05-16,211.0205078125,167.07965087890625,453.5244445800781
2025-05-19,208.54331970214844,167.5187225341797,458.1168823242188
2025-05-20,206.62550354003903,164.97409057617188,457.4180603027344
2025-05-21,201.86090087890625,169.7041473388672,451.8272399902344
2025-05-22,201.13172912597656,171.62013244628906,454.1134643554688
2025-05-23,195.04864501953125,169.23513793945312,449.441162109375
2025-05-27,199.9830474853516,173.61593627929688,459.9338989257813
