Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT
Date,,,,,,,,,,,,,,,
2024-10-14,230.228515625,165.6251220703125,416.0167236328125,230.65651637799863,166.88957700087903,420.88020441582967,227.54102629778745,164.0619561840233,414.40876988651684,227.64055393917852,164.1913945597103,414.65690697024394,39882100,9981800,16653100
2024-10-15,232.76670837402344,166.17269897460938,415.61968994140625,236.3898456598821,168.35315811036688,419.3318413994773,231.29355345996072,165.3264121085983,412.16564103956983,232.52781469355565,166.411658603287,419.03405871782695,64751400,14829300,18900200
2024-10-16,230.70626831054688,166.013427734375,413.01922607421875,231.04468960128423,166.55106797325655,413.25742799200697,228.77525301100687,164.4960665730318,407.4212689749873,230.52710945831018,165.30651490961594,412.0763232895253,34082200,9968500,15508900
2024-10-17,231.07456970214844,163.79312133789062,413.6147766113281,232.76670668063704,167.19821643099237,419.35170523704693,229.4521309302649,163.65373201334134,412.49319205621896,232.348638945834,166.65062527959674,419.2127339196968,32993800,15113400,14820000
2024-10-18,233.91134643554688,164.33078002929688,415.0440368652344,235.08587271459402,165.64502008827174,416.52292426802023,232.92592721050605,164.03208427288982,413.1582009892299,235.08587271459402,164.15155649853372,414.0316484156336,46431500,13091300,17145300
2024-10-21,235.384521484375,165.0775146484375,415.659423828125,235.75281781754072,165.4956826376428,415.8380752730999,233.36392650842956,163.58901891443685,410.6669065146117,233.36392650842956,163.8628296926184,413.01924141063614,36254500,11384000,14206100
2024-10-22,234.7674102783203,166.09307861328125,424.3243713378906,235.12574323334508,166.74024012033664,427.37147187061,231.5225172658939,163.95243825860203,414.92493688547415,232.80653482833821,163.98230631632472,415.37156548627684,38846600,11958600,25482200
2024-10-23,229.6909942626953,163.76324462890625,421.4360656738281,234.05070868615385,166.86965899975868,427.86776005710016,226.70489182210235,162.91993546186882,419.3814831724278,232.99562158724072,165.70474411550393,427.6493981928425,52287000,12754300,19654400
2024-10-24,229.5019073486328,163.81304931640625,421.5650939941406,229.75074924052936,164.33078763866595,422.80577949754775,227.35190975750177,162.06072409253227,419.2524392532927,228.9146289407981,163.87278543199432,422.1605988036373,31109500,12764400,13581600
2024-10-25,230.3380126953125,166.26231384277344,424.9595947265625,232.13962556438537,166.67051564133874,429.29702642206786,228.5065400142299,164.50997366436278,423.3913815699701,228.6757506783198,164.64439509849527,423.5799681906594,38802300,14566400,16899100
2024-10-28,232.3187713623047,167.60643005371094,423.4112243652344,233.64261197661628,169.86256206708674,428.72136443906953,231.47271808946843,165.06753901516458,423.12337684387694,232.23915532682838,169.84662534790536,428.44345209470936,36087100,20858300,14882400
2024-10-29,232.5875244140625,170.39422607421875,428.7312927246094,233.2444706163013,171.11108976015856,429.94220298203743,231.24378738741356,167.9250373739239,422.62709584345464,232.0201728307493,168.64686894070343,424.8107144355948,35417200,28916100,17644100
2024-10-30,229.03407287597656,175.3724365234375,429.3069763183594,232.38845656475567,182.98909414615085,435.2324917274877,228.48661770128336,174.97915355569205,428.880187758029,231.5324398883544,181.61511808403742,434.18039280239805,47070900,49698300,29749100
2024-10-31,224.8634796142578,171.93748474121094,403.3220520019531,228.76531846185907,177.64251131508703,413.05894946974416,224.32597264925337,171.80804637049553,403.2724064074055,228.27758291037028,173.95863755379753,412.2648925685448,64370100,32801900,53971000
2024-11-01,221.87738037109375,171.89764404296875,407.3121032714844,224.30607958110733,173.0625589507953,412.4038816750557,219.2496106921502,169.56784461190855,404.46349406157685,219.9463649274566,170.79248043711254,405.96225191647693,65276700,21752900,24230400
2024-11-04,220.98153686523438,169.93624877929688,405.41632080078125,221.75792231303782,171.17085090618062,407.3617375208185,218.69220372782075,168.74646393259903,402.5478716062057,219.96627293386246,170.49382132170456,406.74633205416956,44944500,16194000,19672300
2024-11-05,222.4148712158203,170.66305541992188,408.3939514160156,222.91255498009295,171.34705817597293,411.8083202953773,220.11557465497725,169.6275788891059,405.039133016745,220.7725208689619,170.08558104548533,405.3269805306338,28111300,12518300,17626000
2024-11-06,221.68826293945312,177.55291748046875,417.0489807128906,225.02275032206146,177.8615642049402,417.31698816741806,220.16535179621147,174.27724535750224,407.4609595048601,221.5787719009408,174.58590727427162,409.346825702744,54561100,27061500,26681800
2024-11-07,226.4261932373047,181.48568725585938,422.2598571777344,226.82434934768688,181.78438300082175,423.66928922885575,223.52968537330023,178.11046028006697,416.75122569160607,223.5894049928319,178.32950281355292,418.14078738908074,42137700,16730400,19901800
2024-11-08,226.15716552734375,179.0762481689453,419.3913879394531,227.8511489598711,181.55540329027707,423.3218709209174,225.60910803907555,178.7875185486928,418.6370415012291,226.366414165256,181.20692236266052,422.15067113853826,38328800,15021500,16891400
2024-11-11,223.4368133544922,181.1770477294922,414.8951721191406,224.90161465065876,181.29155207407845,421.6444892164841,220.7164746065314,179.2056800423675,412.90014011467326,224.20409384410638,179.28533325699743,419.37154486777723,42005600,12503400,24503300
2024-11-12,223.4368133544922,182.5211639404297,419.87774658203125,224.79200315214243,183.22307843198172,421.27724345465793,222.5698957238352,180.2013154285578,414.09120276331856,223.75568869738083,180.5896153395915,415.1333664626366,40398300,14065800,19401200
2024-11-13,224.3236541748047,179.70350646972656,422.0315856933594,225.84824072641777,181.8192466194637,426.13078508233804,221.97200184604,179.33510844230398,415.0936518803662,223.2175800878685,181.3562613464338,418.4981158636683,48566200,13969700,21502200
2024-11-14,227.4127197265625,176.57717895507812,423.7090148925781,228.06041440281584,179.6586932804585,424.9794756745813,224.204108600429,175.26292374510342,416.87034165331505,224.2240421118748,178.96671454665437,421.83308381585454,44923900,17925800,30246900
2024-11-15,224.2041015625,173.1322479248047,411.9075927734375,226.11730807125568,175.11358167386166,419.64945830467593,223.47668806811174,171.99223317829555,410.5577414665236,225.59914322363005,174.87462204023322,416.69168340974903,47923700,21708900,28247600
